condition,model,day,threshold,net_benefit,treat_all,treat_none,ci_lower,ci_upper,n,bootstrap_resamples,treat_all_ci_lower,treat_all_ci_upper
Transductive,Joint,1095,0.35,-0.1448165675393353,-0.1448165675393353,0.0,-0.23873765448995354,-0.04406765048030945,211,2000,,
Transductive,Joint,1095,0.4,-0.2402057620372653,-0.2402057620372653,0.0,-0.3419572925359494,-0.13106340995003563,211,2000,,
Transductive,Joint,1095,0.45,-0.35293844644390965,-0.35293844644390965,0.0,-0.4639441374993988,-0.23387658023243912,211,2000,,
Transductive,Joint,1095,0.5,-0.488217667731883,-0.488217667731883,0.0,-0.6103283514555383,-0.3572523845713234,211,2000,,
Transductive,Joint,1095,0.55,-0.6535589381949617,-0.6535589381949617,0.0,-0.7892423907352647,-0.5080450343188488,211,2000,,
Transductive,Joint,1095,0.6,-0.8255241177077862,-0.8602355262738096,0.0,-0.9777646599905113,-0.6647049719913233,211,2000,,
Transductive,Joint,1095,0.65,-0.9029761124100427,-1.1259625680894718,0.0,-1.0777195973431695,-0.7245359878019466,211,2000,,
Transductive,Joint,1095,0.7,-0.6936447016440941,-1.480265290510354,0.0,-0.8754658327071828,-0.5047841058982014,211,2000,,
Transductive,Joint,1095,0.75,-0.23714049397485476,-1.9762891018995898,0.0,-0.3793363201024295,-0.09711892616432044,211,2000,,
Transductive,Joint,1095,0.8,-0.07394260275611568,-2.7203248189834435,0.0,-0.18980403518463218,0.021520443215848284,211,2000,,
Transductive,Joint,1095,0.85,0.0,-3.9603843474565315,0.0,0.0,0.0,211,2000,,
Transductive,Joint,1095,0.9,0.0,-6.440503404402711,0.0,0.0,0.0,211,2000,,
Inductive,Deep,365,0.05,0.05716768326241517,0.05716768326241517,0.0,0.014583027561087,0.10422836127170078,211,2000,0.014583027561087,0.10422836127170078
Inductive,Deep,365,0.1,0.004788110110327175,0.004788110110327175,0.0,-0.04016235979663043,0.05446327023123962,211,2000,-0.04016235979663043,0.05446327023123962
Inductive,Deep,365,0.15,-0.053753765765535866,-0.053753765765535866,0.0,-0.10134838096113813,-0.0011565374022169683,211,2000,-0.10134838096113813,-0.0011565374022169683
Inductive,Deep,365,0.2,-0.11961337612588177,-0.11961337612588177,0.0,-0.17018265477120928,-0.06372882098985562,211,2000,-0.17018265477120928,-0.06372882098985562
Inductive,Deep,365,0.25,-0.19425426786760713,-0.19425426786760713,0.0,-0.24819483175595658,-0.13464407572251277,211,2000,-0.24819483175595658,-0.13464407572251277
Inductive,Deep,365,0.3,-0.2647659972194193,-0.27955814414386476,0.0,-0.32049630233486615,-0.2011234273679973,211,2000,-0.33735160545281073,-0.2156900811312638
Inductive,Deep,365,0.35,-0.12714399551787958,-0.3779856936933927,0.0,-0.17439796106207,-0.0794216379612527,211,2000,-0.44022480587225765,-0.3092047027567457
Inductive,Deep,365,0.4,-0.06414661528693869,-0.49281783483450875,0.0,-0.09838925753719911,-0.030138180110221888,211,2000,-0.560243539694946,-0.4183050946531414
Inductive,Deep,365,0.45,0.0,-0.6285285470921911,0.0,0.0,0.0,211,2000,-0.7020838614853953,-0.5472419214397908
Inductive,Deep,365,0.5,0.0,-0.79138140180141,0.0,0.0,0.0,211,2000,-0.8722922476339351,-0.70196611358377
Inductive,Deep,365,0.55,0.0,-0.9904237797793447,0.0,0.0,0.0,211,2000,-1.0803247195932617,-0.8910734595375227
Inductive,Deep,365,0.6,0.0,-1.2392267522517622,0.0,0.0,0.0,211,2000,-1.3403653095424188,-1.1274576419797127
Inductive,Deep,365,0.65,0.0,-1.5591162882877285,0.0,0.0,0.0,211,2000,-1.6747032109056221,-1.4313801622625293
Inductive,Deep,365,0.7,0.0,-1.9856356696690156,0.0,0.0,0.0,211,2000,-2.120487079389892,-1.836610189306284
Inductive,Deep,365,0.75,0.0,-2.582762803602819,0.0,0.0,0.0,211,2000,-2.7445844952678704,-2.403932227167541
Inductive,Deep,365,0.8,0.0,-3.4784535045035243,0.0,0.0,0.0,211,2000,-3.68073061908484,-3.2549152839594275
Inductive,Deep,365,0.85,0.0,-4.97127133933803,0.0,0.0,0.0,211,2000,-5.2409741587797845,-4.6732203786125694
Inductive,Deep,365,0.9,0.0,-7.956907009007047,0.0,0.0,0.0,211,2000,-8.361461238169678,-7.509830567918858
Inductive,Deep,730,0.05,0.13986152921776068,0.13986152921776068,0.0,0.08617488468716533,0.19841003748029834,211,2000,0.08617488468716533,0.19841003748029834
Inductive,Deep,730,0.1,0.09207605861874742,0.09207605861874742,0.0,0.035406822725341236,0.15387726178475938,211,2000,0.035406822725341236,0.15387726178475938
Inductive,Deep,730,0.15,0.03866876794926201,0.03866876794926201,0.0,-0.021333952408462198,0.10410533600739229,211,2000,-0.021333952408462198,0.10410533600739229
Inductive,Deep,730,0.2,-0.021414434053909068,-0.021414434053909068,0.0,-0.08516732443399101,0.04811191950785435,211,2000,-0.08516732443399101,0.04811191950785435
Inductive,Deep,730,0.25,-0.08950872965750295,-0.08950872965750295,0.0,-0.15751181272959033,-0.015347285858288647,211,2000,-0.15751181272959033,-0.015347285858288647
Inductive,Deep,730,0.3,-0.167330781775896,-0.167330781775896,0.0,-0.2401912279245611,-0.0878720919910236,211,2000,-0.2401912279245611,-0.0878720919910236
Inductive,Deep,730,0.35,-0.25712545729711866,-0.25712545729711866,0.0,-0.33559055314952724,-0.17155456060571758,211,2000,-0.33559055314952724,-0.17155456060571758
Inductive,Deep,730,0.4,-0.36188591207187865,-0.36188591207187865,0.0,-0.44688976591198787,-0.26918410732286085,211,2000,-0.44688976591198787,-0.26918410732286085
Inductive,Deep,730,0.45,-0.4856937222602311,-0.4856937222602311,0.0,-0.5784251991767139,-0.384564480715848,211,2000,-0.5784251991767139,-0.384564480715848
Inductive,Deep,730,0.5,-0.6288155508379667,-0.6342630944862542,0.0,-0.7324250401506397,-0.5163209218444663,211,2000,-0.7362677190943853,-0.5230209287874328
Inductive,Deep,730,0.55,-0.644950540565703,-0.8158478827625049,0.0,-0.7552611498142128,-0.5242195138762877,211,2000,-0.9291863545493172,-0.6922454764304812
