time,surv,lower,upper,strata
0.731006160164271,0.7417061611374414,0.7010996091481739,0.7846645787431515,LUNG1 (n=422)
0.7419575633127995,0.7393364928909958,0.698616337589093,0.7824300983379857,LUNG1 (n=422)
0.7611225188227242,0.7369668246445503,0.6961346467670209,0.7801940373877705,LUNG1 (n=422)
0.7665982203969883,0.7322274881516593,0.6911759524049315,0.7757172287886198,LUNG1 (n=422)
0.7775496235455168,0.7298578199052138,0.6886989222251793,0.773476507783209,LUNG1 (n=422)
0.785763175906913,0.7274881516587683,0.6862234194838779,0.7712342595388862,LUNG1 (n=422)
0.7885010266940452,0.7251184834123229,0.6837494316436182,0.7689904965950178,LUNG1 (n=422)
0.7967145790554415,0.7227488151658774,0.681276946464079,0.7667452311939076,LUNG1 (n=422)
0.7994524298425736,0.720379146919432,0.6788059519937252,0.7644984752890993,LUNG1 (n=422)
0.8158795345653662,0.7180094786729865,0.6763364365618255,0.76225024055336,LUNG1 (n=422)
0.8213552361396304,0.7156398104265409,0.6738683887707724,0.7600005383863592,LUNG1 (n=422)
0.8240930869267625,0.7109004739336499,0.6689366518423391,0.7554967760358274,LUNG1 (n=422)
0.8295687885010267,0.7014218009478679,0.6590903168245225,0.7464721151045821,LUNG1 (n=422)
0.8432580424366872,0.6990521327014224,0.6566322448444057,0.7442124386538499,LUNG1 (n=422)
0.8514715947980835,0.696682464454977,0.6541755583252672,0.7419513769692504,LUNG1 (n=422)
0.8542094455852156,0.6943127962085315,0.651720248025931,0.7396889392942858,LUNG1 (n=422)
0.8569472963723477,0.6919431279620859,0.6492663049155762,0.7374251346621349,LUNG1 (n=422)
0.865160848733744,0.6895653165257901,0.6468045068350408,0.7351530806147946,LUNG1 (n=422)
0.8678986995208761,0.6871875050894943,0.6443440770340592,0.7328796585277877,LUNG1 (n=422)
0.8788501026694046,0.6848096936531984,0.6418850068621391,0.7306048770541066,LUNG1 (n=422)
0.8898015058179329,0.6824318822169027,0.6394272878658134,0.7283287446497536,LUNG1 (n=422)
0.892539356605065,0.6800540707806069,0.6369709117840294,0.7260512695783514,LUNG1 (n=422)
0.9034907597535934,0.677676259344311,0.6345158705436987,0.7237724599155947,LUNG1 (n=422)
0.9144421629021219,0.6752984479080152,0.6320621562553999,0.7214923235535482,LUNG1 (n=422)
0.919917864476386,0.6729122343111671,0.6296002958482455,0.7192037203152608,LUNG1 (n=422)
0.9226557152635181,0.670526020714319,0.627139765684423,0.7169137870954604,LUNG1 (n=422)
0.9308692676249144,0.6657535935206228,0.6222226659905353,0.7123299608188247,LUNG1 (n=422)
0.9363449691991786,0.6609811663269266,0.6173107986923789,0.7077409032279383,LUNG1 (n=422)
0.9418206707734429,0.6585949527300785,0.6148568096456332,0.7054444302430681,LUNG1 (n=422)
0.947296372347707,0.6562087391332304,0.6124041079646817,0.7031466701716801,LUNG1 (n=422)
0.9555099247091033,0.6538225255363823,0.6099526870681831,0.7008476295981746,LUNG1 (n=422)
0.9664613278576317,0.6514363119395342,0.6075025405273397,0.6985473149544533,LUNG1 (n=422)
0.9774127310061602,0.6490500983426861,0.605053662062822,0.6962457325229955,LUNG1 (n=422)
0.9883641341546886,0.646663884745838,0.6026060455417952,0.6939428884398323,LUNG1 (n=422)
1.002053388090349,0.6442776711489899,0.6001596849750435,0.6916387886974229,LUNG1 (n=422)
1.0047912388774811,0.6418914575521418,0.5977145745141901,0.6893334391474362,LUNG1 (n=422)
1.0102669404517455,0.6395052439552937,0.5952707084490079,0.68702684550344,LUNG1 (n=422)
1.0130047912388775,0.6371190303584456,0.5928280812048193,0.684719013343503,LUNG1 (n=422)
1.0157426420260096,0.6347328167615975,0.5903866873399812,0.6824099481127107,LUNG1 (n=422)
1.0239561943874058,0.6323466031647494,0.5879465215434524,0.6800996551255983,LUNG1 (n=422)
1.0266940451745379,0.6299603895679013,0.5855075786324403,0.6777881395685054,LUNG1 (n=422)
1.0321697467488022,0.6275741759710532,0.5830698535501262,0.6754754065018516,LUNG1 (n=422)
1.0376454483230664,0.6251879623742052,0.5806333413634635,0.6731614608623396,LUNG1 (n=422)
1.0431211498973305,0.6228017487773571,0.5781980372610489,0.6708463074650847,LUNG1 (n=422)
1.054072553045859,0.620415535180509,0.5757639365510643,0.6685299510056746,LUNG1 (n=422)
1.0704996577686516,0.6180293215836609,0.573331034659284,0.6662123960621621,LUNG1 (n=422)
1.0732375085557837,0.6156431079868128,0.5708993271271501,0.6638936470969921,LUNG1 (n=422)
1.108829568788501,0.6132568943899647,0.5684688096099099,0.6615737084588644,LUNG1 (n=422)
1.1197809719370295,0.6084844671962685,0.5636113277993818,0.6569302790005649,LUNG1 (n=422)
1.1279945242984257,0.6060982535994204,0.5611843553697058,0.654606796324989,LUNG1 (n=422)
1.136208076659822,0.6037120400025723,0.5587585566788377,0.6522821402689604,LUNG1 (n=422)
1.1416837782340863,0.6013258264057242,0.5563339279252097,0.6499563146383146,LUNG1 (n=422)
1.158110882956879,0.5989396128088761,0.5539104654111178,0.6476293231350929,LUNG1 (n=422)
1.1663244353182751,0.596553399212028,0.5514881655412525,0.6453011693590096,LUNG1 (n=422)
1.1854893908281998,0.5941671856151799,0.5490670248212837,0.6429718568088719,LUNG1 (n=422)
1.2019164955509924,0.5917809720183318,0.5466470398564905,0.6406413888839492,LUNG1 (n=422)
1.2101300479123889,0.5893947584214837,0.5442282073504414,0.6383097688852958,LUNG1 (n=422)
1.215605749486653,0.5870085448246356,0.5418105241037188,0.6359770000170272,LUNG1 (n=422)
1.2210814510609171,0.5822361176309393,0.5369785930683164,0.6313080280107558,LUNG1 (n=422)
1.2265571526351813,0.5798499040340912,0.5345643393550216,0.6289718308071542,LUNG1 (n=422)
1.242984257357974,0.5774636904372431,0.5321512230495773,0.6266344966049872,LUNG1 (n=422)
1.2484599589322383,0.5726912632435469,0.5273283918247771,0.6219564280628959,LUNG1 (n=422)
1.2511978097193703,0.5679188360498507,0.5225100786158479,0.6172738432043609,LUNG1 (n=422)
1.267624914442163,0.5655326224530026,0.5201026101615736,0.6149308632756407,LUNG1 (n=422)
1.270362765229295,0.5631464088561545,0.5176962640585392,0.6125867614368622,LUNG1 (n=422)
1.273100616016427,0.5607601952593064,0.5152910381024527,0.6102415398979528,LUNG1 (n=422)
1.2813141683778233,0.5583739816624583,0.512886930173953,0.6078952007840055,LUNG1 (n=422)
1.3032169746748803,0.5559877680656102,0.5104839382378428,0.6055477461360471,LUNG1 (n=422)
1.3114305270362765,0.5536015544687621,0.5080820603423561,0.6031991779117744,LUNG1 (n=422)
1.3278576317590691,0.551215340871914,0.5056812946184579,0.6008494979862559,LUNG1 (n=422)
1.3442847364818618,0.5488291272750659,0.5032816392791756,0.5984987081526023,LUNG1 (n=422)
1.3470225872689938,0.5440567000813697,0.4984856530130949,0.5937938055273455,LUNG1 (n=422)
1.3497604380561259,0.5416704864845217,0.49608931891709274,0.5914396959177688,LUNG1 (n=422)
1.3634496919917864,0.5392842728876736,0.49369408886617944,0.5890844827652338,LUNG1 (n=422)
1.374401095140315,0.5368980592908255,0.4912999614747648,0.58672816746203,LUNG1 (n=422)
1.3908281998631074,0.5321256320971293,0.4865150095211193,0.5820122355803241,LUNG1 (n=422)
1.4017796030116358,0.5297394185002812,0.48412418257941503,0.5796526213953027,LUNG1 (n=422)
1.4099931553730323,0.5225807777097369,0.47695828524385797,0.5725671986012117,LUNG1 (n=422)
1.429158110882957,0.5201945641128888,0.47457184422930093,0.5702032006809283,LUNG1 (n=422)
1.434633812457221,0.5178083505160407,0.47218649758793224,0.5678381089544212,LUNG1 (n=422)
1.4428473648186173,0.5154221369191926,0.46980224462837583,0.5654719241209457,LUNG1 (n=422)
1.4483230663928817,0.5130359233223445,0.46741908473484317,0.563104646804316,LUNG1 (n=422)
1.4757015742642026,0.5106497097254964,0.4650370173669224,0.5607362775531202,LUNG1 (n=422)
1.486652977412731,0.5058772825318002,0.4602761584220655,0.555996265066356,LUNG1 (n=422)
1.4893908281998631,0.5034910689349521,0.45789736613965065,0.5536246225534013,LUNG1 (n=422)
1.4976043805612593,0.501104855338104,0.45551966497164953,0.5512518895513554,LUNG1 (n=422)
1.5030800821355237,0.4987186417412559,0.453143054752272,0.5488780662349898,LUNG1 (n=422)
1.5195071868583163,0.49633242814440776,0.45076753539038117,0.5465031527045957,LUNG1 (n=422)
1.5277207392197125,0.49394621454755966,0.448393106869462,0.5441271489860193,LUNG1 (n=422)
1.568788501026694,0.4915600009507115,0.44601976924761605,0.5417500550306718,LUNG1 (n=422)
1.5742642026009583,0.4891737873538634,0.44364752265758217,0.5393718707155124,LUNG1 (n=422)
1.596167008898015,0.48440136016016716,0.4389063034773907,0.5346122301410675,LUNG1 (n=422)
1.6071184120465434,0.48201514656331906,0.43653733152643576,0.5322307732629461,LUNG1 (n=422)
1.6290212183436004,0.47962893296647097,0.43416945188591816,0.5298482247871312,LUNG1 (n=422)
1.6344969199178645,0.47724271936962287,0.4318026650629614,0.5274645842171973,LUNG1 (n=422)
1.6454483230663928,0.4748565057727748,0.42943697163998606,0.5250798509816369,LUNG1 (n=422)
1.6673511293634498,0.4724702921759266,0.42707237227491046,0.5226940244336653,LUNG1 (n=422)
1.6837782340862424,0.47008407857907847,0.4247088677013775,0.520307103851,LUNG1 (n=422)
1.6892539356605065,0.46769786498223037,0.4223464587290076,0.5179190884356123,LUNG1 (n=422)
1.6919917864476386,0.4653116513853823,0.4199851462436789,0.5155299773134543,LUNG1 (n=422)
