component,coef_LUNG1,coef_Radiogenomics,cv_stability
emb_pca_29,3.0365883949873153e-09,1.442007734475083e-09,0.3725786686003739
emb_pca_30,-4.3355085296239016e-09,-7.075155626856007e-09,0.3582941320245046
emb_pca_31,-0.0004484970544176,-6.1818817665988835e-09,1.4081815110374636
emb_pca_32,2.0251164970136583e-08,-7.742378445096462e-09,2.2360015680296903
emb_pca_33,8.232130001765121e-09,-3.6658831919723502e-09,0.301516175779082
emb_pca_34,-1.0727235303550166e-08,-5.774680560092671e-09,0.2390214875461455
emb_pca_35,-6.89182438015329e-09,-1.809224591660055e-10,0.3859263044850137
emb_pca_36,-8.25285597530859e-09,-2.6801281296251342e-09,0.263690033057496
emb_pca_37,-6.41229643421544e-08,-1.0587054787467588e-08,1.5047319555114602
emb_pca_38,1.7658383925529004e-08,-1.974743068034908e-09,0.2128079453361857
emb_pca_39,-7.73184921520143e-09,2.425335209256368e-09,0.3849653939563149
emb_pca_40,-4.1385796087377585e-09,-1.2645125162530717e-08,0.1986882290457862
emb_pca_41,2.798148783816739e-08,8.404665300111961e-09,2.236026166206293
emb_pca_42,1.2219866189821951e-08,-3.1750969469634433e-09,0.2253204191303025
emb_pca_43,-1.4207773579497148e-08,-7.648226028622917e-09,0.1762841923349012
emb_pca_44,1.0116315240820631e-08,-8.41881958902359e-09,0.2651387064403228
emb_pca_45,6.2183862482377725e-09,2.956767936513181e-10,0.7459869225222227
emb_pca_46,-2.694879094915316e-08,4.770815215206533e-09,0.5711764652892978
emb_pca_47,-1.0426963198546349e-08,3.9635838736182395e-09,0.4858471920331002
emb_pca_48,1.343837929542522e-08,2.0215875192114693e-08,0.4175820059319434
emb_pca_49,-4.7922938556975805e-09,8.390304126698567e-09,0.3282229974327555
